original_currency;target_currency;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024;31/01/2025;28/02/2025;31/03/2025;30/04/2025;31/05/2025;30/06/2025;31/07/2025;31/08/2025;30/09/2025;31/10/2025;30/11/2025;31/12/2025
AED;USD;0.272479564032698;0.283378746594005;0.277711171662125;0.2786911886954256;0.27581895538053014;0.2916139255005723;0.26513417112724347;0.26531127891491707;0.25909406612929403;0.2524191852057749;0.23959895299956263;0.2396557292676156;0.2407741621716213;0.24843388321534296;0.252120049204348;0.25357576069171767;0.2553224919019929;0.25763617090894697;0.25063984879160683;0.2576666432703592;0.26155626736176446;0.26525028207212836;0.2682082864781915;0.25977801259115996
AUD;USD;0.72992700729927;0.817518248175183;0.752116788321168;0.7391291274556429;0.749634858832973;0.7422340280093388;0.7193875442154818;0.7076010157360875;0.7169563518458323;0.6823836262270827;0.6827179491661383;0.6742795048819389;0.6688555504611968;0.6693540490959161;0.6744791250233265;0.6697106243402272;0.6730529641222791;0.6862415961279442;0.686974487033625;0.6848775138844131;0.6789300914737275;0.6930240734932549;0.676932035554666;0.7078550734625669
BHD;USD;2.63157894736842;2.31578947368421;2.66315789473684;2.622267671866214;2.633724690492272;2.611800355316177;2.5531712953592134;2.4981244703659233;2.456863919319367;2.4319504497291167;2.3240047680018283;2.4111214536673367;2.3762673712589093;2.3992150781220056;2.4701440669180172;2.543592045775979;2.5885995587693635;2.5515596167927628;2.5339646887061065;2.492608072286602;2.5243559612188835;2.5133624022408614;2.3672864042343718;2.4234927014535534
BMD;USD;1.0;1.0;1.0;1.0129517567461215;1.0042762184806253;1.0298040348905961;1.055591488557974;1.0373824528039322;1.0728463121149676;1.0410165123938782;1.0355449885091124;1.063126894994749;1.075093696862236;1.0872726475686711;1.0849498097579957;1.0681020111476986;1.0399153498187101;1.0365135360315827;0.9938074977195959;0.9972675894914148;1.010085610552758;1.0360225017743918;1.004579145020983;0.9489361609875321
CAD;USD;0.8;0.744;0.61008;0.609172090532852;0.6303514878599921;0.6774129681931071;0.6859062807032938;0.6906234108845899;0.6890036490311463;0.7018753871965915;0.6970325485228757;0.6863653427416354;0.6827058978101427;0.6719685051560788;0.6627739566566714;0.6557604638795222;0.6551878222068059;0.6673053982202192;0.6732308368083193;0.672004421328338;0.6775904635890737;0.6749108077652896;0.659239468084293;0.6913696225831681
CHF;USD;1.08695652173913;1.23913043478261;1.33826086956522;1.3071480600255327;1.2609858792393498;1.1869147205008816;1.2226593684428422;1.2197665703199219;1.2553016596021598;1.221934454554079;1.2142051598190653;1.255064305860017;1.2101012253983527;1.183416858282045;1.194779942356604;1.2149407145784683;1.254535102274584;1.246695625795747;1.2937389929409098;1.2532865990582558;1.211324759237603;1.2602837395411637;1.2581879427803837;1.2727756735010944
CZK;USD;0.0450653447498873;0.0387561964849031;0.0344930148715638;0.03289285202993331;0.034422197289948046;0.035018563668657694;0.035922162553428276;0.03524786723050652;0.03296909674834352;0.03318577876460391;0.03426194404603966;0.03475910976973322;0.03560309987375014;0.035309713995569;0.03493957560112639;0.037122043749623475;0.03670552075944967;0.037634149573202366;0.03775550200756915;0.03912068539979585;0.03992018588086322;0.043121833238936834;0.04385091968049454;0.043083743360977346
DKK;USD;0.147710487444609;0.141802067946824;0.141802067946824;0.13940426431816638;0.13681381229331718;0.13674951851102582;0.1355129021534135;0.1403227313462358;0.14352242659184236;0.14571544350422866;0.1466207461615484;0.14351915643995497;0.1451100995299962;0.14622838274390326;0.14705809582860474;0.15223689536824064;0.14925720685703198;0.14597521441849368;0.14167751441974674;0.14318167180522837;0.14240045997793085;0.1401692412786303;0.1415073729220667;0.14208142381891692
EUR;USD;1.0989010989011;1.28571428571429;1.10571428571429;1.1084528121419581;1.0472463358344117;1.0472577177219706;1.0467473404799763;1.0491837643524144;1.0817030355041035;1.0371126367175572;1.0221789520881395;1.0265834522622492;1.0611348008237385;1.0336352420934378;1.0421673509292135;1.0400369925713229;1.069302418451726;1.0771928117884526;1.0468488000301892;0.9653587717296482;0.9790744259999636;0.9696673713704124;1.0121898490043353;0.9890068979425611
FKP;USD;1.35135135135135;1.21621621621622;1.15540540540541;1.1902567858555009;1.2217094067576768;1.1888263474971192;1.2243780997845062;1.191252969113411;1.2568273077567926;1.3064625533244296;1.2971801600776791;1.304327518801845;1.2822922616312855;1.3034307168956352;1.2256758075312348;1.261290601587885;1.3083519334154905;1.2089440772375462;1.2022008003346774;1.2179736767265237;1.2113004078437106;1.1987731284319356;1.2583238699082884;1.185490986581387
